"","IDENTIFICADOR","ENTIDAD","MUNICIPIO","NOMBRE_ENT","NOMBRE_MUN","POB_TOTAL","REPORTADOS_TOTALES","CONFIRMADOS_TOTALES","DEFUNCIONES_CONF","DESCARTADOS_TOTALES","PROBABLES_TOTALES","PORCENTAJE_POSITIVIDAD","PROB_ESTIMADOS","TOTAL_ESTIMADOS","PRUEBA_POSITIVA_1A4","SERO_1","SERO_2","SERO_3","SERO_4","INC_ACUM","TASA_MORT","INDICE_REZAGO","GRADO_REZAGO","INDICE_MARG","GRADO_MARG","IND_MARG_NORM","ANALF","SIN_EDUC_BAS","SIN_DRENAJE","SIN_ENERGIA","SIN_AGUA_ENT","PISO_TIERRA","HACINAMIENTO","LOC_MENOS_CINCOMIL","MENOS_DOS_SALARIOS","VUL1_E"
"1","1- 1","1","1","Aguascalientes","Aguascalientes",948990,12,4,NA,7,1,36.3636363636364,0.363636363636364,4,2,NA,2,NA,NA,0.421500753432597,NA,-1.31532,"Muy bajo",60.2778112950391,"Muy bajo",0.944474207930119,1.64473777347411,20.3672204039209,0.104798699606025,0.113169040426143,0.378609666467454,0.591433800425798,10.3395299911499,7.52368307358349,54.2265941157169,NA
"2","1- 2","1","2","Aguascalientes","Asientos",51536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.857301,"Muy bajo",56.5052030723155,"Muy bajo",0.885362387403869,3.52640545144804,33.9063643941484,2.65037264784292,0.486447570680832,0.858160306680418,1.35242950826052,22.942304611206,78.2210493635517,78.5654712260217,NA
"3","1- 3","1","3","Aguascalientes","Calvillo",58250,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.918554,"Muy bajo",57.0173585752554,"Muy bajo",0.893387192097068,4.4915090698572,42.4824498383877,0.365177248768388,0.516760257691115,0.800978399421229,1.04041065215145,19.2198581695557,51.3012875536481,79.2597765363129,NA
"4","1- 4","1","4","Aguascalientes","Cosío",17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00402,"Muy bajo",57.0731564266902,"Muy bajo",0.894261471212481,3.14486733915402,27.6967454754161,0.712854954636503,0.577353599622953,0.659832685283375,1.03098857075527,22.7168655395508,65.4705882352941,81.7263689442954,NA
"5","1- 5","1","5","Aguascalientes","Jesús María",129929,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17336,"Muy bajo",58.9708180490475,"Muy bajo",0.923995338769859,2.38058753995009,26.6924771483022,0.277033961739989,0.354957443689088,0.860425814317794,1.3126519273064,16.4045753479004,37.1641434937543,56.7487533824606,NA
"6","1- 6","1","6","Aguascalientes","Pabellón de Arteaga",47646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16876,"Muy bajo",58.5838296098834,"Muy bajo",0.91793173772488,2.73233866618731,25.7242803116927,0.541337546076883,0.42548709847288,1.04476040021064,0.705634544497104,19.0759544372559,32.7645552617219,64.3350111566603,NA
"7","1- 7","1","7","Aguascalientes","Rincón de Romos",57369,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06549,"Muy bajo",57.6057647406585,"Muy bajo",0.902606744616819,3.44591684191857,27.0943427296759,0.965870247339913,0.501340999526706,1.02722316686241,1.30266318354752,20.9755020141602,44.2852411581167,76.6439717511735,NA
"8","1- 8","1","8","Aguascalientes","San José de Gracia",9552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.956906,"Muy bajo",57.4866092048888,"Muy bajo",0.900739733724275,2.43977290164186,28.4199403343864,2.10713911311458,0.922528566935737,1.70877450466506,0.859628891917392,21.5727500915527,41.3002512562814,75.4109359275411,NA
"9","1- 9","1","9","Aguascalientes","Tepezalá",22485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.900102,"Muy bajo",56.5634470933844,"Muy bajo",0.886274994787644,4.23521850899743,35.0862775833376,1.38504155124654,0.585291752300956,1.08569386113841,1.42972031096417,22.9857387542725,76.7622859684234,76.9435569755059,NA
"10","1- 10","1","10","Aguascalientes","El Llano",20853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.829259,"Muy bajo",56.5149085479692,"Muy bajo",0.885514459472076,3.8984214138641,34.7577131637582,2.32113063107273,1.03052311316125,1.78133280989302,1.45254686426538,21.8167858123779,69.7549513259483,76.3360920185159,NA
